Name,Default_run,default
VERSION,2.3,VERSION
INPUT_DIR,input,INPUT_DIR
OUTPUT_DIR,output,OUTPUT_DIR
DATA_DIR,input,DATA_DIR
RAW_DATA,../raw_data,RAW_DATA
SSP,245,SSP
RCP,rcp4p5,RCP
SCENARIO,SSP2,SCENARIO
DIET_DOM,BAU,DIET_DOM
DIET_GLOB,BAU,DIET_GLOB
CONVERGENCE,2050,CONVERGENCE
IMPORT_TREND,Static,IMPORT_TREND
WASTE,1,WASTE
FEED_EFFICIENCY,BAU,FEED_EFFICIENCY
CO2_FERT,on,CO2_FERT
RISK_OF_REVERSAL,0.05,RISK_OF_REVERSAL
FIRE_RISK,med,FIRE_RISK
AMORTISE_UPFRONT_COSTS,False,AMORTISE_UPFRONT_COSTS
DISCOUNT_RATE,0.07,DISCOUNT_RATE
AMORTISATION_PERIOD,30,AMORTISATION_PERIOD
RESFACTOR,15,RESFACTOR
MODE,timeseries,MODE
OBJECTIVE,maxprofit,OBJECTIVE
DEMAND_CONSTRAINT_TYPE,soft,DEMAND_CONSTRAINT_TYPE
PENALTY,100000.0,PENALTY
WRITE_OUTPUT_GEOTIFFS,True,WRITE_OUTPUT_GEOTIFFS
WRITE_FULL_RES_MAPS,False,WRITE_FULL_RES_MAPS
PARALLEL_WRITE,True,PARALLEL_WRITE
WRITE_THREADS,50,WRITE_THREADS
SOLVE_METHOD,2,SOLVE_METHOD
PRESOLVE,0,PRESOLVE
AGGREGATE,0,AGGREGATE
VERBOSE,1,VERBOSE
FEASIBILITY_TOLERANCE,0.01,FEASIBILITY_TOLERANCE
OPTIMALITY_TOLERANCE,0.01,OPTIMALITY_TOLERANCE
BARRIER_CONVERGENCE_TOLERANCE,1e-05,BARRIER_CONVERGENCE_TOLERANCE
CROSSOVER,0,CROSSOVER
SCALE_FLAG,2,SCALE_FLAG
NUMERIC_FOCUS,0,NUMERIC_FOCUS
BARHOMOGENOUS,1,BARHOMOGENOUS
THREADS,50,THREADS
NON_AG_LAND_USES,"{'Environmental Plantings': True, 'Riparian Plantings': True, 'Sheep Agroforestry': True, 'Beef Agroforestry': True, 'Carbon Plantings (Block)': True, 'Sheep Carbon Plantings (Belt)': True, 'Beef Carbon Plantings (Belt)': True, 'BECCS': True}",NON_AG_LAND_USES
NON_AG_LAND_USES_REVERSIBLE,"{'Environmental Plantings': False, 'Riparian Plantings': False, 'Sheep Agroforestry': False, 'Beef Agroforestry': False, 'Carbon Plantings (Block)': False, 'Sheep Carbon Plantings (Belt)': False, 'Beef Carbon Plantings (Belt)': False, 'BECCS': False}",NON_AG_LAND_USES_REVERSIBLE
FENCING_COST_PER_M,10,FENCING_COST_PER_M
EP_ANNUAL_MAINTENANCE_COST_PER_HA_PER_YEAR,100,EP_ANNUAL_MAINTENANCE_COST_PER_HA_PER_YEAR
EP_ANNUAL_ECOSYSTEM_SERVICES_BENEFIT_PER_HA_PER_YEAR,0,EP_ANNUAL_ECOSYSTEM_SERVICES_BENEFIT_PER_HA_PER_YEAR
CP_BLOCK_ANNUAL_MAINTENNANCE_COST_PER_HA_PER_YEAR,100,CP_BLOCK_ANNUAL_MAINTENNANCE_COST_PER_HA_PER_YEAR
CP_BLOCK_ANNUAL_ECOSYSTEM_SERVICES_BENEFIT_PER_HA_PER_YEAR,0,CP_BLOCK_ANNUAL_ECOSYSTEM_SERVICES_BENEFIT_PER_HA_PER_YEAR
CP_BELT_ANNUAL_MAINTENNANCE_COST_PER_HA_PER_YEAR,100,CP_BELT_ANNUAL_MAINTENNANCE_COST_PER_HA_PER_YEAR
CP_BELT_ANNUAL_ECOSYSTEM_SERVICES_BENEFIT_PER_HA_PER_YEAR,0,CP_BELT_ANNUAL_ECOSYSTEM_SERVICES_BENEFIT_PER_HA_PER_YEAR
CP_BELT_ROW_WIDTH,20,CP_BELT_ROW_WIDTH
CP_BELT_ROW_SPACING,40,CP_BELT_ROW_SPACING
CP_BELT_PROPORTION,0.3333333333333333,CP_BELT_PROPORTION
CP_BELT_FENCING_LENGTH,333.33333333333337,CP_BELT_FENCING_LENGTH
RP_ANNUAL_MAINTENNANCE_COST_PER_HA_PER_YEAR,100,RP_ANNUAL_MAINTENNANCE_COST_PER_HA_PER_YEAR
RP_ANNUAL_ECOSYSTEM_SERVICES_BENEFIT_PER_HA_PER_YEAR,0,RP_ANNUAL_ECOSYSTEM_SERVICES_BENEFIT_PER_HA_PER_YEAR
RIPARIAN_PLANTING_BUFFER_WIDTH,30,RIPARIAN_PLANTING_BUFFER_WIDTH
RIPARIAN_PLANTING_TORTUOSITY_FACTOR,0.5,RIPARIAN_PLANTING_TORTUOSITY_FACTOR
AF_ANNUAL_MAINTENNANCE_COST_PER_HA_PER_YEAR,100,AF_ANNUAL_MAINTENNANCE_COST_PER_HA_PER_YEAR
AF_ANNUAL_ECOSYSTEM_SERVICES_BENEFIT_PER_HA_PER_YEAR,0,AF_ANNUAL_ECOSYSTEM_SERVICES_BENEFIT_PER_HA_PER_YEAR
AGROFORESTRY_ROW_WIDTH,20,AGROFORESTRY_ROW_WIDTH
AGROFORESTRY_ROW_SPACING,40,AGROFORESTRY_ROW_SPACING
AF_PROPORTION,0.3333333333333333,AF_PROPORTION
AF_FENCING_LENGTH,333.33333333333337,AF_FENCING_LENGTH
AG_MANAGEMENTS,"{'Asparagopsis taxiformis': True, 'Precision Agriculture': True, 'Ecological Grazing': True, 'Savanna Burning': True, 'AgTech EI': True, 'Biochar': True}",AG_MANAGEMENTS
AG_MANAGEMENTS_REVERSIBLE,"{'Asparagopsis taxiformis': True, 'Precision Agriculture': True, 'Ecological Grazing': True, 'Savanna Burning': True, 'AgTech EI': True, 'Biochar': True}",AG_MANAGEMENTS_REVERSIBLE
REMOVE_IRRIG_COST,5000,REMOVE_IRRIG_COST
NEW_IRRIG_COST,10000,NEW_IRRIG_COST
SAVBURN_COST_HA_YR,100,SAVBURN_COST_HA_YR
AGRICULTURAL_MANAGEMENT_USE_THRESHOLD,0.1,AGRICULTURAL_MANAGEMENT_USE_THRESHOLD
OFF_LAND_COMMODITIES,"['pork', 'chicken', 'eggs', 'aquaculture']",OFF_LAND_COMMODITIES
EGGS_AVG_WEIGHT,60,EGGS_AVG_WEIGHT
GHG_EMISSIONS_LIMITS,on,GHG_EMISSIONS_LIMITS
GHG_LIMITS_TYPE,file,GHG_LIMITS_TYPE
GHG_LIMITS,"{2010: 90000000.0, 2050: -100000000.0, 2100: -100000000.0}",GHG_LIMITS
GHG_LIMITS_FIELD,1.5C (67%) excl. avoided emis,GHG_LIMITS_FIELD
CARBON_PRICES_FIELD,1.5C 67%,CARBON_PRICES_FIELD
SOC_AMORTISATION,15,SOC_AMORTISATION
GHG_CONSTRAINT_TYPE,soft,GHG_CONSTRAINT_TYPE
GHG_PENALTY,0.01,GHG_PENALTY
WATER_LIMITS,on,WATER_LIMITS
WATER_REGION_DEF,Drainage Division,WATER_REGION_DEF
WATER_STRESS,0.2,WATER_STRESS
AG_SHARE_OF_WATER_USE,0.7,AG_SHARE_OF_WATER_USE
WATER_YIELD_TARGET_AG_SHARE,0.86,WATER_YIELD_TARGET_AG_SHARE
WATER_YIELD_CCI_BUFFER,0.05,WATER_YIELD_CCI_BUFFER
LIVESTOCK_DRINKING_WATER,1,LIVESTOCK_DRINKING_WATER
INCLUDE_WATER_LICENSE_COSTS,0,INCLUDE_WATER_LICENSE_COSTS
CONNECTIVITY_SOURCE,NCI,CONNECTIVITY_SOURCE
CONNECTIVITY_LB,0.7,CONNECTIVITY_LB
HABITAT_CONDITION,HCAS,HABITAT_CONDITION
HCAS_PERCENTILE,50,HCAS_PERCENTILE
LDS_BIODIVERSITY_VALUE,0.8,LDS_BIODIVERSITY_VALUE
ENV_PLANTING_BIODIVERSITY_BENEFIT,0.8,ENV_PLANTING_BIODIVERSITY_BENEFIT
CARBON_PLANTING_BLOCK_BIODIV_BENEFIT,0.1,CARBON_PLANTING_BLOCK_BIODIV_BENEFIT
CARBON_PLANTING_BELT_BIODIV_BENEFIT,0.1,CARBON_PLANTING_BELT_BIODIV_BENEFIT
RIPARIAN_PLANTING_BIODIV_BENEFIT,1,RIPARIAN_PLANTING_BIODIV_BENEFIT
AGROFORESTRY_BIODIV_BENEFIT,0.75,AGROFORESTRY_BIODIV_BENEFIT
BECCS_BIODIVERSITY_BENEFIT,0,BECCS_BIODIVERSITY_BENEFIT
BIODIV_GBF_TARGET_2_DICT,"{2010: 0, 2030: 0.3, 2050: 0.3, 2100: 0.3}",BIODIV_GBF_TARGET_2_DICT
BIODIVERSITY_LIMITS,on,BIODIVERSITY_LIMITS
BIODIVERSITY_CONTRIBUTION_REPORT,True,BIODIVERSITY_CONTRIBUTION_REPORT
BIO_CALC_LEVEL,group,BIO_CALC_LEVEL
CULL_MODE,absolute,CULL_MODE
MAX_LAND_USES_PER_CELL,12,MAX_LAND_USES_PER_CELL
LAND_USAGE_CULL_PERCENTAGE,0.15,LAND_USAGE_CULL_PERCENTAGE
NON_AGRICULTURAL_LU_BASE_CODE,100,NON_AGRICULTURAL_LU_BASE_CODE
LB_ROUND_DECMIALS,6,LB_ROUND_DECMIALS
NODE,Please specify the node name,NODE
MEM,auto,MEM
CPU_PER_TASK,50,CPU_PER_TASK
TIME,auto,TIME
JOB_NAME,auto,JOB_NAME
